date,subs,views,subs_techtrek,views_techtrek,followers_instagram,following_instagram,media_instagram,avg_likes_instagram,avg_comments_instagram,followers_twitter,following_twitter,tweets_twitter,favorites_twitter,followers_tiktok,following_tiktok,likes_tiktok,uploads_tiktok
2022-03-10,151000.0,9866383.0,2820.0,15694.0,4458.0,768.0,153.0,546.188,33.8125,3669.0,166.0,560.0,759.0,,,,
2022-03-09,151000.0,9857053.0,2810.0,15654.0,4454.0,768.0,152.0,527.812,33.5625,3669.0,166.0,559.0,757.0,,,,
2022-03-08,151000.0,9846682.0,2800.0,15597.0,4453.0,768.0,152.0,527.625,33.5625,,,,,,,,
2022-03-07,151000.0,9823028.0,2800.0,15530.0,4448.0,767.0,152.0,527.625,33.5625,3669.0,166.0,555.0,754.0,,,,
2022-03-06,151000.0,9823028.0,2800.0,15484.0,4445.0,767.0,152.0,527.438,33.5625,3667.0,166.0,555.0,754.0,,,,
2022-03-05,150000.0,9798951.0,2790.0,15441.0,4447.0,766.0,152.0,527.312,33.5625,3666.0,166.0,555.0,754.0,,,,
2022-03-04,150000.0,9798951.0,2780.0,15398.0,4446.0,766.0,152.0,527.312,33.5625,3663.0,166.0,555.0,754.0,,,,
2022-03-03,150000.0,9784134.0,2780.0,15350.0,4440.0,765.0,152.0,527.0,33.5625,3662.0,162.0,555.0,753.0,,,,
2022-03-02,150000.0,9765493.0,2780.0,15294.0,4435.0,764.0,152.0,526.938,33.5625,3654.0,162.0,555.0,753.0,,,,
2022-03-01,149000.0,9731793.0,2770.0,15223.0,4435.0,764.0,152.0,526.938,33.5625,3652.0,162.0,555.0,750.0,,,,
2022-02-28,149000.0,9731793.0,2760.0,15177.0,4437.0,764.0,152.0,526.812,33.5625,3651.0,162.0,550.0,747.0,,,,
2022-02-27,149000.0,9721157.0,2750.0,15138.0,4435.0,763.0,152.0,526.625,33.5625,3650.0,162.0,550.0,745.0,,,,
2022-02-26,149000.0,9711253.0,2740.0,15097.0,4430.0,764.0,152.0,526.375,33.5625,3650.0,162.0,549.0,745.0,,,,
2022-02-25,149000.0,9701375.0,2740.0,15049.0,4430.0,764.0,152.0,525.812,33.5625,3646.0,162.0,549.0,743.0,,,,
2022-02-24,149000.0,9689745.0,2730.0,14969.0,4428.0,763.0,152.0,525.812,33.5625,3642.0,162.0,549.0,743.0,,,,
2022-02-23,149000.0,9676609.0,2700.0,14917.0,4423.0,764.0,152.0,525.812,33.5625,3629.0,161.0,548.0,740.0,,,,
2022-02-22,149000.0,9664713.0,2690.0,14876.0,4415.0,765.0,152.0,525.5,33.5625,3621.0,161.0,546.0,738.0,,,,
2022-02-21,148000.0,9651501.0,2680.0,14839.0,4408.0,764.0,152.0,524.625,33.4375,3608.0,161.0,545.0,736.0,,,,
2022-02-20,148000.0,9627128.0,2680.0,14771.0,4401.0,763.0,152.0,521.312,33.375,3591.0,161.0,543.0,733.0,,,,
2022-02-19,148000.0,9627128.0,2680.0,14730.0,4410.0,762.0,151.0,520.75,32.25,3587.0,161.0,540.0,731.0,,,,
2022-02-18,148000.0,9601824.0,2670.0,14686.0,4400.0,761.0,151.0,520.375,32.25,3563.0,159.0,530.0,726.0,,,,
2022-02-17,148000.0,9601824.0,2660.0,14628.0,4408.0,760.0,151.0,519.688,32.1875,3563.0,158.0,524.0,723.0,,,,
2022-02-16,148000.0,9592363.0,2660.0,14582.0,4408.0,760.0,151.0,519.688,32.125,3561.0,158.0,517.0,722.0,,,,
2022-02-15,148000.0,9582602.0,2660.0,14536.0,4409.0,758.0,151.0,519.688,32.0625,3560.0,158.0,517.0,722.0,,,,
2022-02-14,148000.0,9572369.0,2660.0,14483.0,4405.0,757.0,151.0,519.812,32.0625,3560.0,158.0,517.0,722.0,,,,
2022-02-13,148000.0,9563673.0,2650.0,14449.0,4405.0,756.0,151.0,519.75,32.0625,3558.0,158.0,517.0,722.0,,,,
2022-02-12,147000.0,9547116.0,2650.0,14412.0,4404.0,756.0,151.0,519.75,32.0625,3557.0,158.0,517.0,721.0,,,,
2022-02-11,147000.0,9547116.0,2650.0,14371.0,4399.0,756.0,151.0,519.688,32.0625,3558.0,158.0,517.0,720.0,,,,
2022-02-10,147000.0,9538294.0,2640.0,14324.0,4396.0,755.0,151.0,519.25,32.0625,3554.0,158.0,513.0,719.0,,,,
2022-02-09,147000.0,9528373.0,2640.0,14275.0,4424.0,756.0,151.0,517.938,32.0625,3552.0,158.0,512.0,719.0,,,,
2022-02-08,147000.0,9518629.0,2640.0,14217.0,4414.0,757.0,151.0,517.938,32.0625,3554.0,160.0,511.0,719.0,,,,
2022-02-07,147000.0,9508812.0,2630.0,14168.0,4410.0,755.0,151.0,517.938,32.0625,3558.0,160.0,508.0,719.0,,,,
2022-02-06,147000.0,9488932.0,2630.0,14126.0,4410.0,757.0,151.0,517.812,32.0625,3558.0,159.0,507.0,718.0,,,,
2022-02-05,147000.0,9479831.0,2620.0,14089.0,4406.0,757.0,151.0,517.812,32.0625,3555.0,159.0,506.0,718.0,,,,
2022-02-04,146000.0,9479831.0,2620.0,14036.0,4408.0,757.0,151.0,517.812,32.0625,3554.0,159.0,504.0,720.0,,,,
2022-02-03,146000.0,9460136.0,2620.0,13944.0,4403.0,757.0,151.0,517.812,32.0625,3549.0,157.0,499.0,717.0,,,,
2022-02-02,146000.0,9449583.0,2620.0,13905.0,4400.0,755.0,151.0,517.812,32.0625,3550.0,157.0,498.0,717.0,,,,
2022-02-01,146000.0,9449583.0,2620.0,13874.0,4400.0,756.0,151.0,517.562,32.0625,3551.0,154.0,497.0,715.0,,,,
2022-01-31,146000.0,9438934.0,2610.0,13874.0,4397.0,762.0,151.0,517.875,32.0625,3551.0,159.0,497.0,714.0,,,,
2022-01-30,146000.0,9419035.0,2610.0,13831.0,4399.0,764.0,151.0,517.875,32.0625,3548.0,158.0,495.0,714.0,,,,
2022-01-29,146000.0,9419035.0,2610.0,13768.0,4392.0,763.0,151.0,517.875,32.0625,3548.0,158.0,495.0,714.0,,,,
2022-01-28,146000.0,9409674.0,2600.0,13731.0,4392.0,764.0,151.0,517.875,32.0625,3544.0,158.0,495.0,714.0,,,,
2022-01-27,145000.0,9398989.0,2590.0,13673.0,4390.0,788.0,151.0,517.875,32.0625,3544.0,159.0,495.0,714.0,,,,
2022-01-26,145000.0,9388053.0,2580.0,13629.0,4383.0,788.0,151.0,517.875,32.0625,3540.0,163.0,494.0,714.0,,,,
2022-01-25,145000.0,9366770.0,2580.0,13558.0,4374.0,788.0,151.0,517.875,32.125,3537.0,162.0,494.0,713.0,,,,
2022-01-24,145000.0,9366770.0,2570.0,13515.0,4364.0,788.0,151.0,517.812,32.125,3540.0,162.0,494.0,713.0,,,,
2022-01-23,145000.0,9355227.0,2570.0,13474.0,4364.0,787.0,151.0,517.875,32.125,3540.0,162.0,494.0,713.0,,,,
2022-01-22,145000.0,9345574.0,2560.0,13436.0,4361.0,790.0,151.0,517.938,32.125,3538.0,162.0,494.0,713.0,,,,
2022-01-21,144000.0,9335207.0,2560.0,13385.0,4362.0,791.0,151.0,517.125,32.125,3538.0,162.0,494.0,711.0,,,,
2022-01-20,144000.0,9314352.0,2560.0,13360.0,4360.0,790.0,151.0,517.062,32.125,3536.0,162.0,494.0,711.0,,,,
2022-01-19,144000.0,9314352.0,2550.0,13304.0,4359.0,790.0,151.0,517.062,32.125,3535.0,162.0,494.0,711.0,,,,
2022-01-18,144000.0,9292647.0,2550.0,13255.0,4355.0,790.0,151.0,517.0,32.125,3531.0,162.0,494.0,711.0,,,,
2022-01-17,144000.0,9292647.0,2550.0,13223.0,4351.0,794.0,151.0,516.812,32.125,3528.0,162.0,494.0,711.0,,,,
2022-01-16,144000.0,9272116.0,2540.0,13160.0,4347.0,794.0,151.0,516.875,32.125,3527.0,162.0,494.0,711.0,,,,
2022-01-15,144000.0,9262296.0,2530.0,13104.0,4346.0,793.0,151.0,516.875,32.125,3524.0,162.0,494.0,710.0,,,,
2022-01-14,144000.0,9262296.0,2530.0,13057.0,4345.0,793.0,151.0,516.875,32.125,3522.0,162.0,493.0,710.0,,,,
2022-01-13,143000.0,9251832.0,2520.0,12985.0,4344.0,793.0,151.0,516.812,32.125,3516.0,162.0,493.0,710.0,,,,
2022-01-12,143000.0,9241237.0,2510.0,12897.0,4340.0,793.0,151.0,516.875,32.125,3515.0,162.0,493.0,710.0,,,,
2022-01-11,143000.0,9219227.0,2510.0,12831.0,4340.0,793.0,151.0,516.938,32.125,3511.0,162.0,493.0,708.0,,,,
2022-01-10,143000.0,9207999.0,2500.0,12781.0,4333.0,792.0,151.0,516.625,32.125,3509.0,162.0,493.0,707.0,,,,
2022-01-09,143000.0,9197965.0,2500.0,12727.0,4332.0,792.0,151.0,516.688,32.125,3508.0,165.0,491.0,705.0,,,,
2022-01-08,143000.0,9197965.0,2500.0,12678.0,4332.0,792.0,151.0,516.688,32.125,3501.0,166.0,487.0,698.0,,,,
2022-01-07,143000.0,9178520.0,2490.0,12629.0,4331.0,792.0,151.0,516.562,32.125,3490.0,166.0,485.0,697.0,,,,
2022-01-06,142000.0,9168293.0,2490.0,12587.0,4328.0,792.0,151.0,516.562,32.125,3487.0,166.0,485.0,697.0,,,,
2022-01-05,142000.0,9168293.0,2490.0,12543.0,4327.0,794.0,151.0,516.625,32.125,3486.0,166.0,485.0,696.0,,,,
2022-01-04,142000.0,9147892.0,2490.0,12505.0,4322.0,794.0,151.0,516.5,32.125,3483.0,166.0,485.0,696.0,,,,
2022-01-03,142000.0,9147892.0,2490.0,12477.0,4324.0,794.0,151.0,516.438,32.125,3480.0,166.0,484.0,696.0,,,,
2022-01-02,142000.0,9137956.0,2480.0,12435.0,4321.0,794.0,151.0,515.875,32.125,3480.0,166.0,483.0,695.0,,,,
2022-01-01,142000.0,9119446.0,2480.0,12415.0,4321.0,794.0,151.0,515.875,32.125,3480.0,166.0,483.0,694.0,,,,
2021-12-31,142000.0,9119446.0,2480.0,12388.0,4320.0,795.0,151.0,515.875,32.125,3475.0,165.0,483.0,694.0,,,,
2021-12-30,142000.0,9109693.0,2480.0,12362.0,4319.0,795.0,151.0,515.875,32.125,3476.0,170.0,483.0,694.0,,,,
2021-12-29,141000.0,9099350.0,2470.0,12328.0,4316.0,796.0,151.0,515.875,32.125,3472.0,170.0,483.0,693.0,,,,
2021-12-28,141000.0,9088882.0,2470.0,12304.0,4315.0,796.0,151.0,515.875,32.125,3471.0,170.0,483.0,693.0,,,,
