date,subs,views
2021-03-09,103000,6532366
2021-03-08,103000,6523650
2021-03-07,103000,6515675
2021-03-06,103000,6506581
2021-03-05,103000,6506581
2021-03-04,103000,6498379
2021-03-03,103000,6485005
2021-03-02,102000,6475848
2021-03-01,102000,6467430
2021-02-28,102000,6459012
2021-02-27,102000,6451909
2021-02-26,102000,6443493
2021-02-25,102000,6435347
2021-02-24,102000,6426436
2021-02-23,101000,6417586
2021-02-22,101000,6408402
2021-02-21,101000,6399850
2021-02-20,101000,6391438
2021-02-19,101000,6382431
2021-02-18,101000,6371611
2021-02-17,101000,6362408
2021-02-16,101000,6353549
2021-02-15,100000,6345366
2021-02-14,100000,6337816
2021-02-13,100000,6330520
2021-02-12,100000,6321222
2021-02-11,100000,6309636
2021-02-10,100000,6295777
2021-02-09,100000,6289965
2021-02-07,99700,6272901
2021-02-06,99600,6264155
2021-02-05,99400,6255339
2021-02-04,99200,6243844
2021-02-03,99100,6233455
2021-02-02,98900,6223534
2021-02-01,98800,6212478
2021-01-31,98600,6203683
2021-01-30,98400,6194763
2021-01-29,98000,6185533
2021-01-28,97900,6176720
2021-01-27,97800,6167375
2021-01-26,97600,6158040
2021-01-25,97500,6148329
2021-01-24,97300,6138954
2021-01-23,97200,6130420
2021-01-22,97100,6122363
2021-01-21,96900,6113578
2021-01-20,96800,6104417
2021-01-19,96700,6094755
2021-01-18,96600,6084614
2021-01-17,96400,6075316
2021-01-16,96200,6066596
2021-01-15,96100,6058313
2021-01-14,95900,6049293
2021-01-13,95800,6041320
2021-01-12,95600,6030109
2021-01-11,95500,6020501
2021-01-10,95300,6010703
2021-01-09,95200,6001107
2021-01-08,95000,5992741
2021-01-07,94900,5983304
2021-01-06,94700,5973206
2021-01-05,94500,5963490
2021-01-04,94400,5953805
2021-01-03,94200,5943244
2021-01-02,94000,5933931
2021-01-01,93700,5924609
2020-12-31,93600,5922057
2020-12-30,93300,5907018
2020-12-29,93200,5897174
2020-12-28,92900,5886107
2020-12-27,92700,5876536
2020-12-26,92500,5866958
2020-12-25,92400,5857665
2020-12-24,92300,5852061
2020-12-23,92100,5846194
2020-12-22,91800,5835750
2020-12-21,91600,5821050
2020-12-20,91500,5818653
2020-12-19,91200,5803170
2020-12-18,91100,5797808
2020-12-17,90700,5786179
2020-12-16,90000,5776661
2020-12-15,89800,5766408
2020-12-14,89600,5756592
2020-12-13,89400,5746612
2020-12-12,89300,5737751
2020-12-11,89200,5731804
2020-12-10,89000,5719093
2020-12-09,88900,5712411
2020-12-08,88700,5704338
2020-12-07,88400,5685522
2020-12-06,88200,5674886
2020-12-05,88000,5664934
2020-12-04,87900,5659916
2020-12-03,87700,5648476
2020-12-02,87500,5637612
2020-12-01,87300,5625521
2020-11-30,87100,5612400
2020-11-29,86600,5588876
2020-11-28,86400,5577774
2020-11-26,86000,5555646
2020-11-25,85900,5547890
2020-11-23,85400,5522572
2020-11-22,85100,5509308
2020-11-21,84800,5490188
2020-11-19,84600,5478265
2020-11-18,84300,5464769
2020-11-17,84100,5447369
2020-11-16,83800,5434522
2020-11-15,83600,5420227
2020-11-14,83400,5413092
2020-11-13,83100,5396477
2020-11-12,82900,5383798
2020-11-11,82700,5370327
2020-11-10,82400,5358592
2020-11-09,82400,5346260
2020-11-08,82300,5336551
2020-11-07,82200,5327053
2020-11-06,82000,5318191
2020-11-05,81800,5308254
2020-11-04,81600,5300610
2020-11-03,80800,5284635
2020-11-02,80600,5273450
2020-11-01,80400,5261781
2020-10-31,80300,5257640
2020-10-30,80000,5242395
2020-10-29,79800,5230350
2020-10-28,79600,5219256
2020-10-27,79400,5207233
2020-10-26,79200,5195561
2020-10-25,79000,5185761
2020-10-24,78800,5172729
2020-10-23,78600,5163775
2020-10-22,78400,5153175
2020-10-21,78200,5141565
2020-10-20,78000,5129869
2020-10-19,77800,5120138
2020-10-18,77600,5114586
2020-10-17,77400,5100179
2020-10-16,77200,5092484
2020-10-15,77000,5082297
2020-10-14,76500,5058744
2020-10-13,76300,5051801
2020-10-12,76200,5047315
2020-10-11,76000,5037481
2020-10-10,75700,5023531
2020-10-09,75500,5013759
2020-10-08,75300,5005464
2020-10-07,75100,4992541
2020-10-06,75000,4987630
2020-10-05,74700,4970281
2020-10-04,74500,4955774
2020-10-03,74300,4949163
2020-10-02,74100,4941581
2020-10-01,74000,4932773
2020-09-30,73800,4920142
2020-09-29,73700,4912911
2020-09-28,73600,4908814
2020-09-27,73400,4895199
2020-09-26,73200,4886732
2020-09-25,73100,4878534
2020-09-24,72900,4869974
2020-09-23,72800,4859998
2020-09-22,72600,4849474
2020-09-21,72500,4842055
2020-09-20,72200,4830893
2020-09-19,72100,4823081
2020-09-18,72000,4815447
2020-09-17,71800,4808985
2020-09-16,71700,4798371
2020-09-15,71500,4788211
2020-09-14,71300,4780314
2020-09-13,71100,4768414
2020-09-12,70900,4759759
2020-09-11,70800,4751398
